nickname,point,datetime
Letha_OConnell48,1200,2025-06-19 01:00:12.367 +0700
Onie34,140,2025-05-10 08:45:19.659 +0700
Casimer13,400,2025-03-10 16:58:31.601 +0700
Mallie.Gutkowski,1200,2025-03-07 06:04:04.615 +0700
Tina85,1000,2025-05-06 07:47:22.979 +0700
Emilio.Green,1000,2025-06-24 03:06:09.710 +0700
Eldora67,1000,2025-07-27 21:55:57.405 +0700
Frieda_MacGyver74,900,2025-01-08 15:19:40.042 +0700
Lauren94,1000,2025-05-30 04:08:00.115 +0700
Talia_Fadel-Kohler50,930,2025-05-26 15:27:43.472 +0700
Sheridan_Satterfield,300,2025-09-21 04:35:46.671 +0700
Bertram_Haag,900,2025-06-21 03:00:07.066 +0700
Vernie27,300,2025-01-18 19:39:38.490 +0700
Cydney.Carter25,1000,2025-02-08 23:08:09.609 +0700
Dariana_Mohr98,1000,2025-03-12 04:44:41.488 +0700
Nigel.OReilly89,1000,2025-06-09 00:50:04.388 +0700
Darren31,800,2025-09-01 22:05:23.860 +0700
Rosalinda.McCullough79,1000,2025-05-28 00:42:27.177 +0700
Justus10,1030,2025-05-26 23:32:15.013 +0700
Elza89,100,2025-06-01 04:19:37.923 +0700
Payton.Pollich32,1000,2025-02-17 07:26:43.135 +0700
Vanessa56,1300,2025-03-11 15:20:52.093 +0700
